ID:og, NAME:Arnas, HP:107
ID:jo, NAME:Markus, HP:192
ID:hc, NAME:Tomasz, HP:153
ID:zh, NAME:Marcin, HP:239
ID:dy, NAME:Stanisław, HP:59
ID:lt, NAME:Magnus, HP:273
ID:nn, NAME:Mathias, HP:142
ID:bc, NAME:Kajus, HP:207
ID:el, NAME:Mathias, HP:78
ID:jj, NAME:Mantas, HP:159
ID:lz, NAME:Yūto, HP:148
ID:em, NAME:Matas, HP:276
ID:zq, NAME:Mathias, HP:271
ID:cr, NAME:Yūto, HP:60
ID:rg, NAME:Kajus, HP:222
ID:xc, NAME:Marcin, HP:101
ID:qz, NAME:Riku, HP:113
ID:ms, NAME:Dovydas, HP:213
ID:mt, NAME:Joshua, HP:188
ID:pd, NAME:Cooper, HP:199
ID:xo, NAME:Lachlan, HP:98
ID:eh, NAME:Matas, HP:290
ID:yu, NAME:Dovydas, HP:67
ID:go, NAME:William, HP:185
ID:ul, NAME:Mathias, HP:165
ID:nb, NAME:Haruto, HP:259
ID:wu, NAME:Paweł, HP:254
ID:pm, NAME:Lukas, HP:249
ID:xj, NAME:Yūto, HP:99
ID:ay, NAME:Yūto, HP:89
ID:ns, NAME:Alexander, HP:242
ID:vd, NAME:Riku, HP:225
ID:gq, NAME:Ren, HP:274
ID:ty, NAME:Rokas, HP:221
ID:ss, NAME:Lachlan, HP:206
ID:np, NAME:Nojus, HP:264
ID:tr, NAME:Jack, HP:146
ID:jq, NAME:Lukas, HP:190
ID:jd, NAME:Yūto, HP:167
ID:wg, NAME:Ethan, HP:164
ID:bl, NAME:Andrzej, HP:179
ID:yd, NAME:Mantas, HP:79
ID:ce, NAME:Lukas, HP:274
ID:rl, NAME:Andrzej, HP:172
ID:kf, NAME:Paweł, HP:120
ID:uw, NAME:Shōta, HP:129
ID:se, NAME:Daiwa, HP:207
ID:vj, NAME:Jack, HP:89
ID:sh, NAME:Mathias, HP:292
ID:nz, NAME:Rokas, HP:296
ID:lt, NAME:Haruto, HP:152
ID:iq, NAME:Kenta, HP:112
ID:ux, NAME:Arnas, HP:53
ID:ok, NAME:Joseph, HP:77
ID:hp, NAME:Ethan, HP:263
ID:ya, NAME:Dovydas, HP:299
ID:ej, NAME:Elias, HP:251
ID:wl, NAME:Lukas, HP:263
ID:vq, NAME:Kenta, HP:196
ID:pa, NAME:Yūto, HP:219
ID:ts, NAME:Markus, HP:109
ID:sd, NAME:Jack, HP:248
ID:zv, NAME:Haruto, HP:294
ID:sd, NAME:Dominykas, HP:105
ID:tg, NAME:Matas, HP:146
ID:dc, NAME:Cooper, HP:58
ID:ex, NAME:Ren, HP:225
ID:vu, NAME:Jan, HP:93
ID:yp, NAME:Dovydas, HP:161
ID:ko, NAME:William, HP:231
ID:qk, NAME:Alexander, HP:300
ID:qa, NAME:Joseph, HP:285
ID:yc, NAME:Henrik, HP:218
ID:ny, NAME:Krzysztof, HP:289
ID:ie, NAME:Daizuki, HP:153
